scheme,method,coherence,gap_deg,snr_db,split,bucket_labels,dataset_cache_status,dataset_path,rmse_deg,avg_runtime_sec,avg_preprocess_runtime_sec,avg_forward_runtime_sec,dataset_pass_runtime_sec,num_test_samples,realized_mean_gap_deg,realized_median_gap_deg,realized_min_gap_deg,realized_max_gap_deg,delta_vs_source_train_cell_rmse_deg,phase6_classical_best_method,phase6_classical_best_rmse_deg,delta_vs_phase6_classical_best_rmse_deg,phase6_direct_learned_rmse_deg,delta_vs_phase6_direct_learned_rmse_deg,phase7e_reference_rmse_deg,delta_vs_phase7e_reference_rmse_deg,phase7f_reference_rmse_deg,delta_vs_phase7f_reference_rmse_deg,phase7g_reference_rmse_deg,delta_vs_phase7g_reference_rmse_deg,phase7h_reference_rmse_deg,delta_vs_phase7h_reference_rmse_deg
phase7i_gb19_noncoh_g3_s10_randomgapft,esprit,non-coherent,3,10,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap3_snr10_45k,0.30476069733063854,0.01610858533352277,0.012066745622193493,0.004028447622142267,144.97726800170494,9000,3.0,3.0,2.9999999999999964,3.0000000000000027,-0.0544634885454765,esprit,0.09881844933963968,0.20594224799099886,0.21024764730944684,0.0945130500211917,1.5682003139695968,-1.2634396166389583,0.32565863015763497,-0.020897932826996424,0.3213813116115418,-0.01662061428090328,,
phase7i_gb19_noncoh_g3_s15_randomgapft,esprit,non-coherent,3,15,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap3_snr15_45k,0.3038961508780736,0.016196695010876283,0.01212420342221675,0.004059083788785048,145.77025509788655,9000,3.0,3.0,2.9999999999999964,3.0000000000000027,-0.05532803499804145,esprit,0.09848959707296856,0.20540655380510503,0.20262000575614894,0.10127614512192465,1.6008936569775143,-1.2969975060994408,0.33019158096521595,-0.026295430087142357,0.32468745601513943,-0.02079130513706584,,
phase7i_gb19_noncoh_g4_s1_randomgapft,esprit,non-coherent,4,1,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap4_snr1_45k,0.4653977660037176,0.016348362255110663,0.01223482173313904,0.0040998658888662855,147.13526029599598,9000,4.0,4.0,3.9999999999999982,4.0000000000000036,0.10617358012760253,root-music,0.13733610875910512,0.32806165724461245,0.3997259561021521,0.06567180990156546,2.039785362438004,-1.5743875964342862,0.46075884948463336,0.004638916519084213,0.5053908360483407,-0.0399930700446231,,
phase7i_gb19_noncoh_g4_s5_randomgapft,esprit,non-coherent,4,5,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap4_snr5_45k,0.37100559675556616,0.016228806589148007,0.012150017100011205,0.004065228477611931,146.05925930233207,9000,4.0,4.0,3.9999999999999982,4.0000000000000036,0.011781410879451115,esprit,0.09778264008132201,0.2732229566742441,0.1999880261197514,0.17101757063581477,2.0207444891182322,-1.6497388923626661,0.35073703738282563,0.020268559372740524,0.37412408598768804,-0.0031184892321218793,,
phase7i_gb19_noncoh_g4_s10_randomgapft,esprit,non-coherent,4,10,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap4_snr10_45k,0.36085501835254846,0.01621227328882863,0.012113392977800687,0.004085359155472057,145.91045959945768,9000,4.0,4.0,3.9999999999999982,4.0000000000000036,0.0016308324764334192,esprit,0.09310747000114644,0.267747548351402,0.15885593883205515,0.2019990795204933,2.151406558586578,-1.7905515402340295,0.34338095869504065,0.017474059657507812,0.3583912087571253,0.0024638095954231387,,
phase7i_gb19_noncoh_g4_s15_randomgapft,esprit,non-coherent,4,15,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap4_snr15_45k,0.3550702215375377,0.016146720188728068,0.012073841911262005,0.004059243989196451,145.3204816985526,9000,4.0,4.0,3.9999999999999982,4.0000000000000036,-0.004153964338577343,esprit,0.09247889324214649,0.2625913282953912,0.15299926362661095,0.20207095791092675,2.171274971717214,-1.8162047501796765,0.34019644975927504,0.014873771778262657,0.3515149705937115,0.0035552509438261937,,
phase7i_gb19_noncoh_g5_s1_randomgapft,esprit,non-coherent,5,1,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap5_snr1_45k,0.7377936974916428,0.016292594044857348,0.012214232166692252,0.004064938366891713,146.63334640371613,9000,5.0,5.0,4.999999999999998,5.000000000000003,0.37856951161552777,root-music,0.14560294050526146,0.5921907569863814,0.3057513879840056,0.4320423095076372,2.5370714576136733,-1.7992777601220304,0.8444972709344187,-0.10670357344277592,0.9100964647171131,-0.17230276722547033,,
phase7i_gb19_noncoh_g5_s5_randomgapft,esprit,non-coherent,5,5,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap5_snr5_45k,0.5259512751857934,0.01627007096646897,0.012198390055247324,0.004058094088984136,146.43063869822072,9000,5.0,5.0,4.999999999999998,5.000000000000003,0.1667270893096784,dbf,0.10601008478778969,0.41994119039800376,0.20471388541903726,0.3212373897667562,2.610276319589527,-2.084325044403734,0.5788662992740992,-0.05291502408830573,0.6401393973754291,-0.1141881221896357,,
phase7i_gb19_noncoh_g5_s10_randomgapft,esprit,non-coherent,5,10,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap5_snr10_45k,0.482560612941284,0.016059576544483815,0.012007492333269006,0.004038823500152729,144.53618890035432,9000,5.0,5.0,4.999999999999998,5.000000000000003,0.12333642706516895,dbf,0.10326457832015717,0.3792960346211268,0.14948280233074496,0.33307781061053904,2.7037103252222403,-2.2211497122809565,0.5025312780775688,-0.019970665136284815,0.5658497145973402,-0.08328910165605624,,
phase7i_gb19_noncoh_g5_s15_randomgapft,esprit,non-coherent,5,15,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap5_snr15_45k,0.49131599269338666,0.01610743365565496,0.012002628577413917,0.004091281511077088,144.96690290089464,9000,5.0,5.0,4.999999999999998,5.000000000000003,0.13209180681727162,dbf,0.10285154736058458,0.3884644453328021,0.1449265343166689,0.34638945837671775,2.7277782100406207,-2.236462217347234,0.5037313073350261,-0.012415314641639474,0.5682051713308164,-0.07688917863742972,,
phase7i_gb19_noncoh_randomgap_s1,esprit,non-coherent,,1,noncoherent_random_gap,noncoherent_random_gap,loaded,D:\workspace1\SubspaceNet\data\datasets\p7h_n_rg_s1,3.661680281522147,0.016272348622209394,0.012187324400046945,0.0040717028106123,146.45113759988453,9000,10.62169777777778,9.355,1.0,29.89,3.302456095646032,,,,,,,,,,,,5.280002737155902,-1.6183224556337552
phase7i_gb19_noncoh_randomgap_s5,esprit,non-coherent,,5,noncoherent_random_gap,noncoherent_random_gap,loaded,D:\workspace1\SubspaceNet\data\datasets\p7h_n_rg_s5,3.5491485093014044,0.01627180930000678,0.012165810944661239,0.004092493966920302,146.44628370006103,9000,10.75830888888889,9.600000000000001,1.0,29.64,3.189924323425289,,,,,,,,,,,,5.15169363824543,-1.6025451289440253
phase7i_gb19_noncoh_randomgap_s10,esprit,non-coherent,,10,noncoherent_random_gap,noncoherent_random_gap,loaded,D:\workspace1\SubspaceNet\data\datasets\p7h_n_rg_s10,3.4018466087172494,0.01619901838864381,0.012096289444688914,0.004089408011447328,145.79116549779428,9000,10.637004444444445,9.5,1.0,29.509999999999998,3.0426224228411343,,,,,,,,,,,,4.956123027786264,-1.5542764190690144
phase7i_gb19_noncoh_randomgap_s15,esprit,non-coherent,,15,noncoherent_random_gap,noncoherent_random_gap,loaded,D:\workspace1\SubspaceNet\data\datasets\p7h_n_rg_s15,3.453026941663709,0.01614380965542255,0.012066330711577191,0.004063917744445563,145.29428689880297,9000,10.66341,9.47,0.9999999999999991,29.69,3.093802755787594,,,,,,,,,,,,4.974614981887683,-1.5215880402239739
