scheme,method,rmse_deg
phase1c_nula_coherent_no_lrmc_t200,music,26.19464999763801
phase1c_nula_coherent_no_lrmc_t200,esprit,30.961830522034532
phase1c_nula_coherent_no_lrmc_t200,r-music,31.143703546775384
phase1c_nula_coherent_lrmc_no_toeplitz_t200,music,11.705147567108137
phase1c_nula_coherent_lrmc_no_toeplitz_t200,esprit,10.240310908425279
phase1c_nula_coherent_lrmc_no_toeplitz_t200,r-music,10.521451762743954
phase1c_nula_coherent_lrmc_toeplitz_t200,music,10.302565520728743
phase1c_nula_coherent_lrmc_toeplitz_t200,esprit,10.10740122137859
phase1c_nula_coherent_lrmc_toeplitz_t200,r-music,9.95525235959837
