scheme,method,coherence,gap_deg,snr_db,split,bucket_labels,dataset_cache_status,dataset_path,rmse_deg,avg_runtime_sec,avg_preprocess_runtime_sec,avg_forward_runtime_sec,dataset_pass_runtime_sec,num_test_samples,realized_mean_gap_deg,realized_median_gap_deg,realized_min_gap_deg,realized_max_gap_deg,delta_vs_source_train_cell_rmse_deg,phase6_classical_best_method,phase6_classical_best_rmse_deg,delta_vs_phase6_classical_best_rmse_deg,phase6_direct_learned_rmse_deg,delta_vs_phase6_direct_learned_rmse_deg,phase7e_reference_rmse_deg,delta_vs_phase7e_reference_rmse_deg,phase7f_reference_rmse_deg,delta_vs_phase7f_reference_rmse_deg
phase7h_gb19_coh_randomgap_s1,esprit,coherent,,1,coherent_random_gap,random_gap_generalization|coherent_random_gap,generated,D:\workspace1\SubspaceNet\data\datasets\p7h_c_rg_s1,5.737733314022605,0.016077565288378132,0.012175017700129603,0.0038888403771108844,144.6980875954032,9000,10.599954444444444,9.34,0.9999999999999982,29.739999999999995,5.37850912814649,,,,,,,,,
phase7h_gb19_coh_randomgap_s5,esprit,coherent,,5,coherent_random_gap,random_gap_generalization|coherent_random_gap,generated,D:\workspace1\SubspaceNet\data\datasets\p7h_c_rg_s5,5.677506767535637,0.015921520377767995,0.012023956166244009,0.0038839538773948637,143.29368339991197,9000,10.708827777777776,9.59,0.9999999999999991,29.69,5.318282581659522,,,,,,,,,
phase7h_gb19_coh_randomgap_s10,esprit,coherent,,10,coherent_random_gap,random_gap_generalization|coherent_random_gap,generated,D:\workspace1\SubspaceNet\data\datasets\p7h_c_rg_s10,5.551284507370239,0.015989451866946183,0.012096508978264562,0.0038788882107409235,143.90506680251565,9000,10.566738888888889,9.31,0.9999999999999991,29.79,5.192060321494124,,,,,,,,,
phase7h_gb19_coh_randomgap_s15,esprit,coherent,,15,coherent_random_gap,random_gap_generalization|coherent_random_gap,generated,D:\workspace1\SubspaceNet\data\datasets\p7h_c_rg_s15,5.6132329968799555,0.0157838597998424,0.011917559210980673,0.003852765622438811,142.05473819858162,9000,10.765331111111111,9.649999999999999,0.9999999999999991,29.83,5.254008811003841,,,,,,,,,
phase7h_gb19_noncoh_randomgap_s1,esprit,non-coherent,,1,noncoherent_random_gap,random_gap_generalization|noncoherent_random_gap,generated,D:\workspace1\SubspaceNet\data\datasets\p7h_n_rg_s1,5.280002737155902,0.016355535511347826,0.012406499778205115,0.003934836644537022,147.19981960213045,9000,10.62169777777778,9.355,1.0,29.89,4.9207785512797875,,,,,,,,,
phase7h_gb19_noncoh_randomgap_s5,esprit,non-coherent,,5,noncoherent_random_gap,random_gap_generalization|noncoherent_random_gap,generated,D:\workspace1\SubspaceNet\data\datasets\p7h_n_rg_s5,5.15169363824543,0.015948596922609592,0.011985359422345129,0.003950325622624304,143.53737230348634,9000,10.75830888888889,9.600000000000001,1.0,29.64,4.792469452369315,,,,,,,,,
phase7h_gb19_noncoh_randomgap_s10,esprit,non-coherent,,10,noncoherent_random_gap,random_gap_generalization|noncoherent_random_gap,generated,D:\workspace1\SubspaceNet\data\datasets\p7h_n_rg_s10,4.956123027786264,0.015988500466977713,0.011877533822553233,0.004097557611368959,143.8965042027994,9000,10.637004444444445,9.5,1.0,29.509999999999998,4.596898841910149,,,,,,,,,
phase7h_gb19_noncoh_randomgap_s15,esprit,non-coherent,,15,noncoherent_random_gap,random_gap_generalization|noncoherent_random_gap,generated,D:\workspace1\SubspaceNet\data\datasets\p7h_n_rg_s15,4.974614981887683,0.01586898633303483,0.01189732810018015,0.003958731710794382,142.82087699731346,9000,10.66341,9.47,0.9999999999999991,29.69,4.615390796011568,,,,,,,,,
